GISPROD3OSMPTrailsOSMPOBJECTID,GISPROD3OSMPTrailsOSMPOWNER,GISPROD3OSMPTrailsOSMPBICYCLES,GISPROD3OSMPTrailsOSMPTRAILTYPE,GISPROD3OSMPTrailsOSMPSEGMENTID,GISPROD3OSMPTrailsOSMPHORSES,GISPROD3OSMPTrailsOSMPTRLID,GISPROD3OSMPTrailsOSMPMILEAGE,GISPROD3OSMPTrailsOSMPMEASUREDFEET,GISPROD3OSMPTrailsOSMPTRAILNAME,GISPROD3OSMPTrailsOSMPGlobalID,GISPROD3OSMPTrailsOSMPDogs,GISPROD3OSMPTrailsOSMPDogRegGen,GISPROD3OSMPTrailsOSMPDogRegDesc,GISPROD3OSMPTrailClosuresOBJECTID,GISPROD3OSMPTrailClosuresCLOSUREDURATION,GISPROD3OSMPTrailClosuresWEBLINK,GISPROD3OSMPTrailClosuresCLOSUREAREA,GISPROD3OSMPTrailClosuresTRAILSTATUS,GISPROD3OSMPTrailClosuresCLOSUREREASON,GISPROD3OSMPTrailClosuresLOCATIONDESCRIPTION,GISPROD3OSMPTrailClosuresCONTACT,GISPROD3OSMPTrailClosuresCOMMENTS,GISPROD3OSMPTrailClosuresGLOBALID
785,OSMP,No,Hiking Trail,296-357-356,No,296,0.106,-9999,Boulder Falls,{D8A3CB76-3BA0-4389-B787-666532389C7A},,,,642,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,Closed for Lefthand Fire,{AC18FEFD-B50A-4EBB-82A9-049F67785A59}
1141,OSMP,No,Hiking Trail,229-368-370,Yes,229,0.046,-9999,South Mesa Connector,{955AF539-8EB1-4F0E-91D3-A0C73AD88EA1},,,,429,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{F540E657-C2BA-46B3-B9B0-95629C0D9CB1}
1063,OSMP,Yes,Multi-Use Trail,401-639-632,Yes,401,0.016,-9999,Foothills North,{CF250EF1-1244-4CC5-9C9B-6CB2BD8A7C26},,,,112,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{7C61DA69-975C-429C-8E1C-E2ADA228680E}
1066,OSMP,Yes,Multi-Use Trail,403-626-621,Yes,403,0.009,49,Foothills South,{0D2732B8-5BE2-4A1B-903F-966BD2A7B7E9},,,,115,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{F5FD2810-ED5D-4FDE-8731-A98889627B88}
706,OSMP,No,Hiking Trail,107-369-371,Yes,107,0.044,-9999,Doudy Draw Connector,{D2A1856B-1A9D-4C07-BAC0-AA9920751A7D},,,,205,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{27787155-7EE2-4406-9F01-110678A2A671}
1029,OSMP,Yes,Multi-Use Trail,401-630-631,Yes,401,0.011,54,Foothills North,{06F47855-E3A6-4CB3-A4C1-2C698FA7556F},,,,109,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{604F86DB-BBFB-40BD-A42C-4136C5C1BABE}
1075,OSMP,Yes,Multi-Use Trail,407-601-602,Yes,407,0.014,73,Wonderland Lake,{F25613C3-3E91-4DDB-8325-533325DC15E2},,,,124,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{979FE8EB-5E4F-4794-9E68-B9742D370EAE}
1076,OSMP,Yes,Multi-Use Trail,403-611-615,Yes,403,0.026,135,Foothills South,{DCBD1D7A-3314-47A5-80D4-35F0757D4606},,,,125,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{CAA8E6C6-7668-4F95-95AC-6940DA67B50E}
939,OSMP,Yes,Multi-Use Trail,408-652-675,Yes,408,2.779,14775,Left Hand,{4EAD7FF7-FB1A-4A8B-B01C-A49222434475},,,,78,Until Further Notice,,Left Hand,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{0F78E029-C744-4AF0-9DD7-756A0F38F790}
940,OSMP,Yes,Multi-Use Trail,409-652-650,Yes,409,0.629,3340,Sage,{94CD2F92-FF16-4475-A6C4-7A99F4998E92},,,,79,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{AEE7CBD3-BF85-4009-986B-B2DD1CA517A2}
941,OSMP,Yes,Multi-Use Trail,411-650-651,Yes,411,0.241,1246,North Rim,{990A84AE-2944-43B8-BB26-7C2DA9D72080},,,,80,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{8A13DB82-008A-43B2-A86C-6A15C3EEE43A}
966,OSMP,Yes,Multi-Use Trail,410-647-673,Yes,410,0.546,2832,Eagle,{C397D2B5-D77E-42C6-9DFE-2FA0DC8C5698},,,,85,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{59BC243B-EDA9-4679-A9FF-2203BDD4FFD6}
1021,OSMP,Yes,Multi-Use Trail,401-634-635,Yes,401,0.52,2777,Foothills North,{6EC81047-F625-4B05-ABDB-96141FE8F21F},,,,101,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{A5463F40-A55E-4BCA-8D9E-466335D56BA9}
1022,OSMP,No,Hiking Trail,402-636-636,Yes,402,1.762,9722,Hogback Ridge,{9A13C107-1E52-4813-8921-DCC7FCEBC0F5},,,,102,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{8E527AC9-5ECD-46BB-907E-9110C473FB4E}
962,OSMP,Yes,Multi-Use Trail,409-650-648,Yes,409,0.529,2829,Sage,{A1E090D3-0E6B-4FC4-B406-73EF82DF1B57},,,,81,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{DE19AC7D-4844-4276-A1E0-1ED770FCF813}
963,OSMP,Yes,Multi-Use Trail,410-649-648,Yes,410,0.481,2556,Eagle,{DF3CFB9E-D426-40A9-95B8-B5C71B02735F},,,,82,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{892D108F-C5AF-4B4F-92ED-2D420A074D92}
964,OSMP,Yes,Multi-Use Trail,410-648-673,Yes,410,0.94,5032,Eagle,{D419DAA1-7A8A-4C80-82EB-7E1C292D8443},,,,83,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{B6568E63-0589-427C-9A9B-AED8E732AF29}
930,OSMP,Yes,Multi-Use Trail,420-657-658,Yes,420,1.953,10457,Joder Ranch,{72F0CA88-267C-4FAB-87F6-A617471B64B9},,,,69,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{47E929EC-15AA-4D1D-B884-F0EFC45213DD}
931,OSMP,No,Hiking Trail,417-661-662,No,417,0.03,159,Buckingham Park,{2C1D2324-0322-45B8-803F-6F9FBA2BD615},,,,70,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/temporary-closures,CalWood Fire closure,{3B30A001-2D0D-421C-8A85-04305DA64B00}
